#,¿Tienes una mascota?,Perro,Gato,Pájaro,Pez,Conejo,Hámster,Other,¿Cuánto dinero gastas al mes en tu mascota?,¿Cuánto tiempo (en horas) le dedicas a tu mascota semanalmente?,No me gustan,No quiero tener,Poco espacio en el hogar,Fobias,Poco dinero,Other,Ninguna,Perro,Gato,Pájaro,Pez,Conejo,Hámster,Other,¿Cuánto dinero gastarías al mes en tu mascota?,¿Cuánto tiempo (en horas) le dedicarías a tu mascota semanalmente?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
eme78pd1a6xcpqu3eme76wgs5kdyta8f,Sí,Perro,Gato,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-21 14:44:09,2023-04-21 14:44:27,069f32d39d,
kn6ck9l3sv6f29qyvht6kn6ck4uroadc,Sí,Perro,,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 04:02:47,2023-04-21 04:03:08,0be96d9d35,
hf4ykm4hgre8n5hgyuhf4yk6v297bgbk,Sí,Perro,,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 03:22:34,2023-04-21 03:22:55,bcbd2af321,
8rz2zhvbh7yyi4h362p8rz2zh23c6eh3,Sí,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 02:13:39,2023-04-21 02:14:11,0d0cdbf5ac,
md56ekqx26fin9ao83zmd56ek9560tub,Sí,,Gato,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 02:00:53,2023-04-21 02:01:35,27409bd895,
1oc04l0aqzmbaznywzgd1oc04l0dcwwp,Sí,Perro,,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 01:06:03,2023-04-21 01:06:26,a167a0d013,
ohmzdqgjjjbk8vzybrohmxgt00mjkuxt,Sí,Perro,,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-21 00:51:04,2023-04-21 00:51:22,e5c06a11bb,
49b9k1dsa3gppliy4npat49b9k1gb1qy,Sí,Perro,,,,,,,$80.000 - $100.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 00:39:42,2023-04-21 00:46:03,9f8c55b9be,
z9vsjsiz14olfrj05n3oez9vsjsisujs,Sí,,Gato,,,,,,Más de $100.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-19 05:13:47,2023-04-19 05:14:04,383c769752,
2soyfz3urlcao1nr2soyfbjfi7jqbnzx,Sí,,Gato,,,,,,$20.000 - $40.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-18 02:20:39,2023-04-18 02:21:08,9fb1d6ad28,
ftyy4n6p04w80l2z94it2ftyy4nxzo2z,No,,,,,,,,,,,,,,,Poco espacio en el hogar y poco tiempo para dedicarle los cuidados y atenciones que se merece,,Perro,,,,,,,$60.000 - $80.000,3 - 6 horas,2023-04-18 01:17:51,2023-04-18 01:20:22,2e8e2dbe74,
phprs0fln9i8g5dgq1phprszkfkpvhyc,Sí,,Gato,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 20:28:38,2023-04-17 20:28:54,f9e62dec09,
c0qwsql9w2xfti5dzmc0qwshc4unpnp8,Sí,Perro,,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 20:09:40,2023-04-17 20:09:56,e4bb8a6192,
v3f0vcy1nd2vxs06spv3f0vc3w6s7by4,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 19:57:54,2023-04-17 19:58:10,f0f468bc24,
nssix7m92xo682mznssix7mihxf0zi70,Sí,Perro,Gato,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 18:17:13,2023-04-17 18:17:48,6e2a8b27b9,
kcr7gamwjo3lk263k8i5vkcr7gcziarq,Sí,,Gato,,,,Hámster,,$60.000 - $80.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 18:04:41,2023-04-17 18:04:58,79d5ef9e81,
hp0tv043oww874vbntrn2weishp0tv04,Sí,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 18:03:08,2023-04-17 18:03:44,79d5ef9e81,
9dicxk1twb4t58xupr9dicxzrfq89tvb,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 17:09:39,2023-04-17 17:12:07,35e8cc4e73,
70s4xhor7ele64j6hoel70s4xndcawwb,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,Perro,Gato,Pájaro,Pez,,,Ornitorrinco,Más de $100.000,0 - 3 horas,2023-04-17 17:03:45,2023-04-17 17:05:53,1d1caea1a0,
itjpe1ik86utitjpo8qd2hnt2i7nz54u,No,,,,,,,,,,No me gustan,,,,,,Ninguna,,,,,,,,,,2023-04-17 16:10:38,2023-04-17 16:10:50,2f2c65187a,
muwcby41pq3bt3zmshphmuwcbyjezirb,Sí,Perro,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 14:24:53,2023-04-17 14:25:20,8e072e32d4,
koyfmqa6jr34scribxbikoyf53vcemp6,No,,,,,,,,,,,,,,,Mi papás no quieren,,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,2023-04-17 13:54:15,2023-04-17 13:55:13,cf7bdf76a6,
vd04aztaat3xrvtlhh1pn3vd04a4ae1t,Sí,Perro,Gato,,Pez,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 13:45:50,2023-04-17 13:46:23,aa4e46f0f0,
mdqkeh85f8xdjqy8hmdqkenxawzgxho0,Sí,,Gato,,,,,,$60.000 - $80.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 12:12:25,2023-04-17 12:13:06,f7d2037e56,
qhncwbbk3hbl1fsqhncwfz9lip8p54am,Sí,,Gato,,,,,,$0 - $20.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 12:02:10,2023-04-17 12:02:53,07cd1daa76,
evdvkqmipqdqpdv186md9evdvkqpvzn9,No,,,,,,,,,,No me gustan,,,,,,Ninguna,,,,,,,,,,2023-04-17 11:56:07,2023-04-17 11:56:27,1c339aacf9,
e66n2cljt73le683asnba17mneak6m0a,Sí,Perro,,,,Conejo,,,$60.000 - $80.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 11:45:09,2023-04-17 11:45:41,37ee9aa737,
lugju0rwmss6mb4c1zmqoqdky2ebujl4,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 10:33:20,2023-04-17 10:33:47,8db91ae150,
mn60d0v4myj4iealw5mn60d0skuns64k,Sí,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 10:16:42,2023-04-17 10:17:21,e02f474612,
ds7ksidf1zh57xoqds77lwu59cnprdg6,No,,,,,,,,,,,,,,,Poco espacio en mi hogar,,Perro,,,,,,,$80.000 - $100.000,Más de 6 horas,2023-04-17 07:03:19,2023-04-17 07:04:29,0e5c13fc33,
mmqgzmleceixzmmqgyweu6kwid5ksvhb,Sí,Perro,,,,,,,Más de $100.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 05:13:09,2023-04-17 05:13:33,6894dc2cad,
20yz9bx5rdvg22mqy820yze0cyny04e7,No,,,,,,,,,,,,,,,Poco tiempo para cuidarla,,,Gato,,Pez,Conejo,,,$20.000 - $40.000,3 - 6 horas,2023-04-17 04:51:42,2023-04-17 04:53:03,f845c9eff0,
45ob2xl7mokzj1fho5ox45ob2xl24o5t,Sí,Perro,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 04:01:39,2023-04-17 04:02:25,b14807d8ec,
0vk9e7idw0fug2l9m20vk9e7i1m57xq4,Sí,Perro,Gato,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 03:29:44,2023-04-17 03:30:31,b87cb2b8ae,
dyt6hjzb32t34hf8pdyxv7s8vtugx2l8,Sí,Perro,Gato,,,,,,$80.000 - $100.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 03:27:29,2023-04-17 03:27:53,d1bf18a60a,
maqro2l3mahqhvdl3vnpx7w6eu2hqhvd,Sí,Perro,,,,,,,$40.000 - $60.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 03:25:47,2023-04-17 03:26:29,3351522d8f,
eqmdydw1suugws2bxrs0heqmdydc0rey,Sí,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 03:20:54,2023-04-17 03:21:11,e20458bf0b,
ors72v8n2afs5aihmk8wors72vuyo0rw,Sí,Perro,,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 03:17:01,2023-04-17 03:17:24,2757a0cb51,
gv1i5sx9yzhkinfelebrogv1i5sxer1s,Sí,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 03:09:11,2023-04-17 03:09:47,914017ef27,
0f8e8sc7ag9vxng0f8e8shmowp28q4o4,Sí,,Gato,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 03:07:08,2023-04-17 03:07:40,c92b027752,
25yuulrmrkefjfdqtw025yuslnkdm0r9,Sí,,Gato,,,Conejo,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 03:01:43,2023-04-17 03:02:15,1ab0bc6aef,
u7mg33kujk9e9tu7mg330vxy5shxunup,Sí,,Gato,,Pez,,,,$80.000 - $100.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:56:27,2023-04-17 02:58:14,73c7db3f05,
apzkayvk3f0e3n9rapzkdk28bclbntht,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:50:46,2023-04-17 02:51:13,7f60349e78,
juw7uan82xl1s2pbhswjuw7uao5rmw30,Sí,Perro,Gato,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:48:40,2023-04-17 02:49:19,25e725f29e,
qnymls84chyzn1wftix6etqnymls5taz,Sí,Perro,,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:48:43,2023-04-17 02:49:06,bdce3620e7,
q72jpfakzibb30znkoq72j8zc8yjl9ax,Sí,,Gato,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:46:40,2023-04-17 02:47:24,36bdb137f1,
ou1h02fbeyvnsqvjnkodlou1er8hqhtz,Sí,,Gato,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:46:20,2023-04-17 02:46:47,b090237916,
yu8uxdaa128o8ywxyu8uxbsoohrrisnh,Sí,Perro,,,,,,,$40.000 - $60.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 02:46:12,2023-04-17 02:46:33,ed315a6a92,
19yauqss2n9xdce3s19yauq54j80gl86,Sí,,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:45:46,2023-04-17 02:46:05,ecb9af1b23,
emtbh5u88bqtwg6w7odbemtbh5es8o4e,Sí,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:42:23,2023-04-17 02:42:57,61a2bb3b87,
kx1g1fkomo9ucaw0jykx1g1f5nkm8hgn,Sí,,Gato,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 02:12:25,2023-04-17 02:12:54,f30bb35d26,
zgexn90kurwafzz6sftupo0g9zgexn90,Sí,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:09:44,2023-04-17 02:10:09,132e236b1a,
fq2atcby4snml2afq2atclcwy3rpb94c,No,,,,,,,,,,,,,,,"Tenía. pero falleció recientemente",,Perro,Gato,,,Conejo,,,$20.000 - $40.000,Más de 6 horas,2023-04-17 02:01:22,2023-04-17 02:03:09,e911bf4e10,
e2a84cab7uxlce0v0woe2a86y98y0kg1,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 02:01:53,2023-04-17 02:02:09,d0e962b247,
ew35du9nnyh2ik5fl19d7ew35am0wuo7,Sí,Perro,,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 01:44:13,2023-04-17 01:44:49,e2cc619588,
oobu62p391am07itn6qcooobu6z7m457,Sí,Perro,,,Pez,,,Tortuga,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 01:43:11,2023-04-17 01:44:01,294836b318,
1ifuokj62z62apc1subf3fj31ifuokj1,Sí,Perro,Gato,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 01:25:31,2023-04-17 01:26:11,81499391b5,
yje928yzgv3mhhvkqddu9yje9281mgw0,No,,,,,,,,,,,,,,,Mi familia no quiere tener,,Perro,Gato,,,,,,$60.000 - $80.000,Más de 6 horas,2023-04-17 01:20:02,2023-04-17 01:21:07,a74f428fc9,
kfxtojqka6w5iqgtb1nqkfxtfyg28rk7,No,,,,,,,,,,,,,,Poco dinero,,,Perro,Gato,,,Conejo,Hámster,,$40.000 - $60.000,3 - 6 horas,2023-04-17 01:19:06,2023-04-17 01:20:37,38b0e1a7a9,
cjvb3ijlmk5a02z3ykcjvaydbpqwuqio,Sí,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 01:16:56,2023-04-17 01:17:18,f050a353ec,
d1qb1btko2yod1chmu22qi430y5gb11a,Sí,,Gato,,Pez,,,,$0 - $20.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 01:04:25,2023-04-17 01:05:36,fd70c660d2,
dtcdscwsxwz37ppwwbudtcdfhcgabwdi,Sí,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 01:02:37,2023-04-17 01:03:00,ff781b1288,
4zd5t1ouwh670ije4zd5t139v4lfaxf3,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,Perro,,,,,,,$40.000 - $60.000,3 - 6 horas,2023-04-17 01:01:00,2023-04-17 01:01:33,190f7606ac,
2n82g6dpgpdaimz75nm2n82ycl9ksww7,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,,Gato,,,,,,$0 - $20.000,3 - 6 horas,2023-04-17 00:58:35,2023-04-17 00:59:05,82399397ef,
ruk4cr6pwrxpvtniygqruk4cr6pgs6lj,Sí,Perro,Gato,,,Conejo,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:57:23,2023-04-17 00:58:34,fe9f9dbe7d,
z8ic6gbj12a6fon4rg9z8iyl862y3smz,Sí,,Gato,,,,,,$0 - $20.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:52:04,2023-04-17 00:52:24,8e5b9b5465,
ozapyvsivao8beozave4carg3exmvqxx,Sí,Perro,Gato,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:51:43,2023-04-17 00:52:06,51fb58479f,
y88xig1k114oyonwzq6i4bly88xig1w7,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,,Gato,,,,,,$60.000 - $80.000,0 - 3 horas,2023-04-17 00:45:25,2023-04-17 00:46:03,f041432b59,
h1dhax7b84kjol2rksmtit7h1dhaxcur,Sí,Perro,,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:34:35,2023-04-17 00:35:06,dbd717f455,
hs92y6mv5s61gjgyyhs92y6jutopcg0t,Sí,,Gato,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:33:23,2023-04-17 00:33:49,2da64ecccf,
lg7um4a3d72j65oq6klg7um4wdtdtyzt,No,,,,,,,,,,,,,,,"Que en mi casa la mayoría esta fuera de casa durante el día. entonces se la pasaría muy solo",,Perro,,Pájaro,Pez,Conejo,Hámster,"En un mundo perfecto un mapache. tambien me gustaría un hurón",$40.000 - $60.000,Más de 6 horas,2023-04-17 00:27:17,2023-04-17 00:30:08,9eac87a108,
72q5dvr8a7inzqe72q5dvuwxzbvfjp0t,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,Perro,,,,Conejo,,,$80.000 - $100.000,Más de 6 horas,2023-04-17 00:25:41,2023-04-17 00:26:09,73d3819dd0,
nbq012uyatcjtil4ycnbq01nfg2v07sm,Sí,Perro,,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:16:57,2023-04-17 00:17:46,8a52d7a798,
dicav79trg9v4jdicavtoumku88o6nq7,Sí,,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:13:07,2023-04-17 00:14:01,6983e623c3,
mqdwk16tq5uxjqklfo2amqdwk16qpbsi,Sí,Perro,,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:10:59,2023-04-17 00:11:58,349fe61e1a,
ycmvg6onxgl4y0ycm42rk761d2ky20dy,Sí,Perro,,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:04:40,2023-04-17 00:05:06,685f198679,
nfysoxbpcnsj36o2mu4hnfysoxbp9hkl,Sí,,Gato,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 00:03:00,2023-04-17 00:04:10,1c0842ac00,
wbj0j57fnly782lnz9nbxwbj0j56zk42,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,Perro,Gato,,,,,Hurón,$40.000 - $60.000,3 - 6 horas,2023-04-17 00:00:39,2023-04-17 00:02:00,99d9a19c39,
rc5ln2ulamjq9drc5lnnqpsyce9idv9m,Sí,Perro,Gato,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:58:20,2023-04-16 23:58:41,72c95c9ba2,
5b1yef3ll9dfkko1uagfvex5b1yef0s6,Sí,,,,,,,Cobayo,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:57:14,2023-04-16 23:57:47,920e0a11f8,
6hcva36uqfph3fcwyjl6hcvan2mko8tq,Sí,,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:56:59,2023-04-16 23:57:37,29df95886d,
tm3hf4evrh5h4jqb2z4putm3hfd733um,Sí,Perro,Gato,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:56:55,2023-04-16 23:57:23,29abd06b3b,
mibxxmxh8hsc7is00mibxxmvq25pauou,Sí,Perro,Gato,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:50:43,2023-04-16 23:52:48,4c7f8e0dac,
yio74l5d5u03a7hqgnb9c9yio74l52k9,Sí,,Gato,,,,,,$20.000 - $40.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:49:43,2023-04-16 23:51:20,f7dd6fc00e,
848zks0wv3ea8r85tsgudbo848zks0qo,Sí,Perro,Gato,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:49:58,2023-04-16 23:50:32,09ca16941d,
3re55obq4ec61pzxzfym3re552dgdcvy,Sí,Perro,,,,,,,$0 - $20.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:47:42,2023-04-16 23:48:00,2b8905afe9,
s3bsfkxbfhynhqduyab9s3bsf5oh3w5t,Sí,Perro,,,,,,,$20.000 - $40.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:46:38,2023-04-16 23:47:11,31247174e4,
xx2ww7dw405uiva1mtoxx2ww7nozhhv8,Sí,,Gato,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:45:48,2023-04-16 23:46:23,0136052bb4,
avw68pasw8eavsx36emhsjfbs5z37n7s,Sí,Perro,Gato,,,Conejo,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:41:10,2023-04-16 23:44:22,df8e075b01,
4a5lvpmxoxvrcdh5n44a5lvwbwip9bzm,No,,,,,,,,,,,,Poco espacio en el hogar,,Poco dinero,,,,Gato,,Pez,,Hámster,,$80.000 - $100.000,Más de 6 horas,2023-04-16 23:43:00,2023-04-16 23:43:36,e9d695e379,
ir0x1npuohe69l7xl3ryir0x12kq8lr8,No,,,,,,,,,,,,,,,Tuve una y se perdió :c,,Perro,,,Pez,Conejo,Hámster,,$60.000 - $80.000,3 - 6 horas,2023-04-16 23:42:10,2023-04-16 23:43:34,e218910be9,
c2x7ys7kgd92w8csiyc2x7sfamk55oig,Sí,Perro,Gato,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:42:07,2023-04-16 23:42:59,9b5bff95f4,
i9f17hyzn6lth65hv7etn7v73i9f17hy,Sí,Perro,Gato,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:41:33,2023-04-16 23:41:57,27a9021e89,
d18am0ovvbn5x2rnuqa3l1d18am0hwpr,Sí,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:40:44,2023-04-16 23:41:01,022fea1d8a,
42y72ywa59w342y557hhyhrho4s8nxea,Sí,Perro,Gato,,,,,,$60.000 - $80.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:40:30,2023-04-16 23:40:58,9f9035cc61,
z2xbo3dlrotept2zz2xbiar8p3q5xtwx,Sí,Perro,,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:40:31,2023-04-16 23:40:51,8d186bbb06,
4qyni7gb096b9udnugix74qyni7g45gw,Sí,Perro,,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:38:23,2023-04-16 23:38:59,50f2681609,
v9yo9nqml7438szxepu7hdv9yo9nqmtg,Sí,,Gato,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:38:02,2023-04-16 23:38:37,b21e5269a9,
0nbs96ei09j9p4vai9lihj0nbs986rll,Sí,Perro,,,,,,,$20.000 - $40.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:37:32,2023-04-16 23:37:51,b442b2b815,
dwq3pge0if0ifl9jdwq3pxbxlf6fwg9l,Sí,,Gato,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:37:05,2023-04-16 23:37:25,7f9eb60ea3,
dqax4wz044mkkedqax9ztubs7a0pepn3,Sí,Perro,,,,,,,Más de $100.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:35:25,2023-04-16 23:36:02,9c636bc6c5,
j2cmudhsqetw9xnlnj2cmx9gbfs5hxf3,Sí,,Gato,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:35:35,2023-04-16 23:35:57,e3a08e37ef,
cgbdqnccf34dip4lp2gcgbdepv643gas,Sí,Perro,,,,,,,Más de $100.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:31:06,2023-04-16 23:31:24,3cf0f92350,
d7bg1dn989y2voh7d7bg6e3xqb8uys74,No,,,,,,,,,,,,,,,Tiempo,,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,2023-04-16 23:25:12,2023-04-16 23:27:46,d05a06e434,
kp0sjf0ugkhd9urlckp0sjfzltbwgous,Sí,Perro,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:25:49,2023-04-16 23:26:10,740bd30960,
ou2rex6s7dc7w1c8kaou22qnjexxhws4,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,2023-04-16 23:24:42,2023-04-16 23:25:38,d992a8aeab,
sb35mpvqx75gicjm9ufsb35mp45hl9fq,No,,,,,,,,,,,,,,,Por qué es una responsabilidad que no sé si será posible cumplir,,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,2023-04-16 23:21:44,2023-04-16 23:23:37,c4a98ac20b,
5fo2icbx7qefytw7so75fo2i02zex8cn,No,,,,,,,,,,,,,,,Tenemos que poner malla en las ventanas,,,Gato,,,,,,$0 - $20.000,Más de 6 horas,2023-04-16 23:20:28,2023-04-16 23:22:30,b2c5712afe,
t84unjbql2a4b7zrlt84unjsjmnq7wfn,Sí,Perro,Gato,,,,,Tortuga,$60.000 - $80.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:21:26,2023-04-16 23:22:13,da8080b9d8,
1jarfvqcphvnrrzsdee81japek7qd31x,No,,,,,,,,,,,,,,,Cuando mueren se sufre mucho.,,Perro,,,,,,,$80.000 - $100.000,Más de 6 horas,2023-04-16 23:20:50,2023-04-16 23:22:13,c4a98ac20b,
ss5i35w1jf9ss5lmenhqd6592y2u2vy0,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:21:25,2023-04-16 23:22:07,d2f28653cc,
ahrakfpfwha8ao1jzniahrad8bbaf3oy,Sí,,Gato,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:19:34,2023-04-16 23:20:09,81f1d156c1,
d5178hfj3jlcojjddd51780xgb1uk7hj,Sí,Perro,,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:18:43,2023-04-16 23:19:08,5e7acfd532,
hefjxphlpf3rbeizp4p7hefjxph9nyv5,Sí,Perro,,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:11:58,2023-04-16 23:12:58,a6da17ebac,
fprs4wu6zeru436oefprs1c4i6tzgcp8,Sí,Perro,Gato,,,,,,$20.000 - $40.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:11:18,2023-04-16 23:11:48,3264841c29,
w8bl2kh1yh7eazsbtypjw8bc4wkhb8tv,Sí,,Gato,,,,,,$80.000 - $100.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-16 23:10:22,2023-04-16 23:11:03,8fe7f4ab70,
0ljpy7ki9h6fpz60ti0ljpynqv5klcsm,Sí,Perro,,,,,,,$60.000 - $80.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-16 23:10:12,2023-04-16 23:11:01,9418718d44,
